AdjSquareFeet,DistancetoCoast,DistancetoSinkhole,DistancetoFireDepartment,LocationWindSpeed,Terrain,ValueofHome,NumberOfBuildings,NumberOfUnits,Age
2375.0,-99.0,7.69,0.46,140.0,HVHZ,165540.0,1.0,1.0,58.0
2096.0,2798.4,24.45,0.22,120.0,C   ,147810.0,1.0,1.0,62.0
2268.0,-99.0,3.51,0.87,140.0,HVHZ,248990.0,1.0,1.0,57.0
1333.0,-99.0,7.61,0.27,140.0,HVHZ,186630.0,1.0,1.0,36.0
1592.0,-99.0,17.34,1.59,146.0,HVHZ,371433.0,1.0,1.0,71.0
2089.0,-99.0,5.27,0.61,146.0,HVHZ,206058.0,1.0,1.0,73.0
1611.0,4804.8,8.34,0.56,140.0,B   ,207402.0,1.0,1.0,44.0
914.0,-99.0,2.22,1.11,110.0,B   ,23699.0,1.0,1.0,72.0
1135.0,211.2,19.39,1.31,130.0,C   ,246500.0,1.0,1.0,17.0
1536.0,-99.0,6.29,0.25,140.0,HVHZ,148590.0,1.0,1.0,41.0
1898.0,-99.0,6.74,0.26,140.0,B   ,246886.0,1.0,1.0,54.0
1167.0,3643.2,9.37,0.71,140.0,B   ,97976.0,1.0,1.0,67.0
2449.0,-99.0,5.28,0.64,140.0,HVHZ,275160.0,1.0,1.0,33.0
688.0,1795.2,19.02,1.33,120.0,B   ,41960.0,1.0,1.0,64.0
1668.0,-99.0,1.04,0.22,140.0,HVHZ,193150.0,1.0,1.0,56.0
3170.0,950.4,4.31,2.0,130.0,C   ,221253.0,1.0,1.0,58.0
2000.0,-99.0,3.17,0.47,146.0,HVHZ,131336.0,1.0,1.0,67.0
2105.0,-99.0,0.84,2.92,110.0,B   ,169740.0,1.0,1.0,38.0
1600.0,-99.0,10.51,1.25,140.0,B   ,185937.0,1.0,1.0,44.0
2150.0,3696.0,0.66,0.8,123.0,B   ,207533.0,1.0,1.0,29.0
2912.0,-99.0,1.03,1.09,110.0,B   ,195100.0,1.0,1.0,26.0
1596.0,2059.2,0.55,0.6,130.0,B   ,161482.0,1.0,1.0,52.0
1182.0,-99.0,6.62,0.57,140.0,HVHZ,129590.0,1.0,1.0,48.0
2365.0,1056.0,0.62,0.29,123.0,C   ,305988.0,1.0,1.0,67.0
2001.0,-99.0,22.29,0.98,146.0,HVHZ,242088.0,1.0,1.0,42.0
2019.0,3009.6,10.17,0.99,146.0,HVHZ,398018.0,2.0,1.0,85.0
1960.0,-99.0,0.73,1.04,123.0,B   ,146751.0,1.0,1.0,67.0
1539.0,-99.0,5.29,1.49,140.0,HVHZ,256770.0,1.0,1.0,62.0
1021.0,2798.4,0.89,0.37,123.0,B   ,153806.0,1.0,1.0,93.0
3367.0,-99.0,6.1,1.21,140.0,HVHZ,369620.0,1.0,1.0,33.0
1317.0,-99.0,2.52,1.03,140.0,HVHZ,195040.0,1.0,1.0,64.0
2884.0,4118.4,15.17,0.47,146.0,HVHZ,396561.0,2.0,2.0,99.0
1552.0,1689.6,22.0,1.09,120.0,C   ,148680.0,1.0,1.0,62.0
1813.0,-99.0,0.08,1.39,110.0,B   ,93915.0,1.0,1.0,50.0
978.0,-99.0,5.15,0.7,140.0,B   ,80000.0,1.0,1.0,51.0
2012.0,792.0,0.57,0.34,130.0,C   ,409800.0,1.0,1.0,45.0
2803.0,1584.0,8.99,0.66,140.0,C   ,472149.0,1.0,1.0,67.0
915.0,-99.0,6.14,0.98,146.0,HVHZ,112941.0,1.0,1.0,78.0
1887.0,-99.0,6.97,0.92,130.0,B   ,156660.0,1.0,1.0,31.0
1535.0,-99.0,6.41,0.56,140.0,HVHZ,155350.0,1.0,1.0,47.0
1568.0,-99.0,7.33,1.1,140.0,HVHZ,145050.0,1.0,1.0,50.0
921.0,3326.4,0.63,1.3,120.0,B   ,124849.0,1.0,1.0,71.0
3010.0,264.0,0.04,1.31,123.0,C   ,517043.0,1.0,1.0,65.0
3990.0,-99.0,18.93,1.61,146.0,HVHZ,601562.0,1.0,1.0,44.0
2590.0,1214.4,3.59,2.22,120.0,C   ,182654.0,1.0,1.0,48.0
1811.0,-99.0,6.41,0.64,146.0,HVHZ,234193.0,1.0,1.0,28.0
1772.0,1161.6,23.06,0.88,120.0,C   ,184570.0,1.0,1.0,64.0
2135.0,-99.0,3.49,0.46,140.0,HVHZ,313230.0,1.0,1.0,55.0
1258.0,-99.0,5.2,0.87,140.0,HVHZ,235280.0,1.0,1.0,55.0
2437.0,739.2,4.59,0.9,133.0,B   ,670175.0,1.0,1.0,25.0
928.0,-99.0,5.02,0.54,140.0,HVHZ,30420.0,1.0,1.0,51.0
2307.0,-99.0,5.17,1.32,140.0,HVHZ,358750.0,1.0,1.0,44.0
2278.0,-99.0,0.95,1.56,120.0,B   ,146850.0,1.0,1.0,30.0
3878.0,-99.0,0.21,1.15,120.0,B   ,277922.0,1.0,1.0,25.0
1645.0,4329.6,0.99,2.19,130.0,B   ,81427.0,2.0,1.0,52.0
2510.0,2851.2,1.88,0.23,123.0,B   ,303423.0,1.0,1.0,61.0
1302.0,-99.0,36.98,1.39,146.0,HVHZ,105361.0,1.0,1.0,51.0
1800.0,1372.8,2.09,0.47,130.0,C   ,302800.0,1.0,1.0,61.0
1748.0,-99.0,2.6,1.64,140.0,B   ,402340.0,1.0,1.0,50.0
4634.0,-99.0,4.26,1.78,140.0,B   ,841591.0,1.0,1.0,30.0
1199.0,-99.0,3.84,1.32,146.0,HVHZ,138545.0,1.0,1.0,70.0
1722.0,-99.0,1.74,0.91,110.0,B   ,126555.0,1.0,1.0,28.0
2647.0,-99.0,1.55,0.4,140.0,HVHZ,466180.0,1.0,1.0,68.0
1243.0,-99.0,0.68,0.69,140.0,HVHZ,289450.0,1.0,1.0,68.0
2013.0,-99.0,0.22,1.21,120.0,B   ,124471.0,1.0,1.0,53.0
2102.0,-99.0,6.9,0.64,130.0,B   ,105781.0,1.0,1.0,49.0
1759.0,-99.0,9.1,0.77,140.0,B   ,182368.0,1.0,1.0,51.0
2817.0,-99.0,26.13,0.7,146.0,HVHZ,275151.0,1.0,1.0,62.0
1097.0,-99.0,1.58,0.85,130.0,B   ,96667.0,1.0,1.0,63.0
2840.0,528.0,16.93,1.92,120.0,C   ,161970.0,1.0,1.0,51.0
2169.0,-99.0,7.34,0.91,110.0,B   ,141900.0,1.0,1.0,19.0
1255.0,-99.0,0.25,1.37,120.0,B   ,75416.0,1.0,1.0,35.0
2216.0,2956.8,18.15,0.36,120.0,B   ,184940.0,1.0,1.0,37.0
1242.0,-99.0,3.27,0.97,120.0,B   ,119229.0,1.0,1.0,46.0
2065.0,-99.0,8.35,1.22,140.0,HVHZ,273950.0,1.0,1.0,49.0
2049.0,-99.0,0.62,1.77,110.0,B   ,143174.0,1.0,1.0,37.0
1506.0,-99.0,7.57,3.46,120.0,B   ,88831.0,1.0,1.0,17.0
1376.0,-99.0,1.07,0.85,123.0,B   ,129886.0,1.0,1.0,49.0
2241.0,-99.0,21.01,0.5,146.0,HVHZ,290499.0,1.0,1.0,35.0
2796.0,-99.0,4.24,0.47,140.0,HVHZ,170340.0,1.0,1.0,66.0
1813.0,-99.0,9.86,1.35,140.0,B   ,227574.0,1.0,1.0,38.0
1505.0,-99.0,9.11,1.08,146.0,HVHZ,134456.0,2.0,1.0,74.0
2839.0,-99.0,4.82,1.43,120.0,B   ,280530.0,1.0,1.0,32.0
1454.0,-99.0,0.4,0.44,120.0,B   ,112878.0,1.0,1.0,50.0
2140.0,-99.0,5.28,0.88,130.0,B   ,111017.0,1.0,1.0,49.0
1655.0,-99.0,16.51,0.44,146.0,HVHZ,496713.0,1.0,1.0,73.0
986.0,-99.0,1.08,2.96,110.0,B   ,78009.0,1.0,1.0,40.0
2349.0,-99.0,0.8,1.83,120.0,B   ,179712.0,1.0,1.0,32.0
1889.0,-99.0,1.02,1.06,140.0,HVHZ,215890.0,1.0,1.0,46.0
2287.0,-99.0,3.99,0.53,120.0,B   ,262950.0,1.0,1.0,31.0
990.0,-99.0,7.22,0.35,140.0,HVHZ,49930.0,1.0,1.0,50.0
1658.0,-99.0,4.46,1.78,140.0,B   ,224590.0,1.0,1.0,27.0
1647.0,-99.0,5.0,0.55,140.0,HVHZ,176740.0,1.0,1.0,55.0
1370.0,-99.0,1.72,0.8,140.0,HVHZ,213280.0,1.0,1.0,64.0
2713.0,-99.0,25.28,0.24,146.0,HVHZ,307380.0,1.0,1.0,31.0
2680.0,-99.0,8.84,2.32,130.0,B   ,158260.0,1.0,1.0,18.0
1342.0,-99.0,38.45,0.42,146.0,HVHZ,114841.0,1.0,1.0,71.0
1701.0,-99.0,1.15,1.11,140.0,HVHZ,164450.0,1.0,2.0,65.0
1608.0,-99.0,18.12,1.83,110.0,B   ,96070.0,1.0,1.0,28.0
1056.0,-99.0,1.46,0.72,110.0,B   ,62576.0,1.0,1.0,35.0
1346.0,-99.0,1.56,1.09,140.0,HVHZ,148630.0,1.0,1.0,62.0
1904.0,-99.0,8.69,0.95,130.0,B   ,120700.0,1.0,1.0,30.0
1231.0,-99.0,2.6,1.56,140.0,HVHZ,169580.0,1.0,1.0,45.0
1525.0,-99.0,10.08,0.5,131.0,B   ,223309.0,1.0,1.0,54.0
1714.0,2270.4,0.1,0.51,123.0,B   ,143046.0,1.0,1.0,51.0
1615.0,-99.0,5.27,0.67,140.0,HVHZ,150630.0,1.0,1.0,57.0
5032.0,4963.2,11.23,0.82,130.0,B   ,532959.0,1.0,1.0,30.0
1789.0,52.8,2.84,0.84,130.0,C   ,448546.0,1.0,1.0,68.0
1432.0,-99.0,4.59,1.07,132.0,B   ,171840.0,1.0,1.0,26.0
1094.0,-99.0,8.79,0.89,140.0,B   ,118582.0,1.0,1.0,62.0
1295.0,-99.0,8.73,0.43,146.0,HVHZ,96957.0,1.0,1.0,76.0
2317.0,-99.0,0.47,0.65,120.0,B   ,160906.0,1.0,1.0,37.0
2352.0,-99.0,4.48,1.31,140.0,HVHZ,336510.0,1.0,1.0,29.0
1764.0,3484.8,1.77,0.4,123.0,B   ,194430.0,1.0,1.0,65.0
3400.0,-99.0,1.14,0.53,110.0,B   ,325456.0,1.0,1.0,25.0
1550.0,-99.0,7.53,1.82,150.0,B   ,124500.0,1.0,1.0,41.0
912.0,-99.0,26.47,1.89,150.0,B   ,311062.0,1.0,1.0,43.0
1409.0,-99.0,5.64,0.84,140.0,HVHZ,205670.0,1.0,1.0,37.0
2094.0,1932.2,14.65,1.16,130.0,C   ,166657.0,1.0,1.0,28.0
1602.0,4593.6,0.73,0.83,123.0,B   ,180053.0,1.0,1.0,60.0
2031.0,-99.0,3.47,0.74,140.0,B   ,212995.0,1.0,1.0,57.0
861.0,-99.0,3.68,0.2,140.0,HVHZ,60940.0,1.0,1.0,60.0
1370.0,-99.0,0.53,1.12,130.0,B   ,122820.0,1.0,1.0,39.0
1861.0,-99.0,1.35,1.56,120.0,B   ,117019.0,1.0,1.0,18.0
1998.0,3009.6,0.99,0.47,123.0,B   ,178170.0,1.0,1.0,60.0
2482.0,950.4,15.36,0.45,130.0,C   ,172360.0,1.0,1.0,29.0
1355.0,4065.6,11.81,0.69,140.0,B   ,156588.0,1.0,1.0,61.0
1296.0,-99.0,10.7,1.43,130.0,B   ,114665.0,1.0,1.0,41.0
3341.0,-99.0,0.61,1.52,120.0,B   ,485206.0,1.0,1.0,34.0
1111.0,-99.0,3.85,1.61,140.0,B   ,78000.0,1.0,1.0,39.0
1027.0,-99.0,1.94,0.49,140.0,HVHZ,154660.0,1.0,1.0,72.0
1691.0,-99.0,4.33,1.29,146.0,HVHZ,168574.0,2.0,1.0,66.0
2145.0,-99.0,0.53,0.96,100.0,B   ,205600.0,1.0,1.0,61.0
2470.0,-99.0,8.16,0.88,130.0,B   ,135669.0,1.0,1.0,43.0
2063.0,2270.4,11.09,1.1,131.0,B   ,751735.0,1.0,1.0,39.0
1534.0,-99.0,1.35,0.41,123.0,B   ,176454.0,1.0,1.0,72.0
1203.0,-99.0,0.3,0.87,120.0,B   ,84040.0,1.0,1.0,66.0
1491.0,-99.0,24.23,0.91,146.0,HVHZ,264802.0,1.0,1.0,48.0
1639.0,-99.0,3.76,1.32,146.0,HVHZ,161445.0,1.0,1.0,65.0
1590.0,1953.6,10.83,1.91,120.0,C   ,284536.0,1.0,1.0,41.0
2233.0,264.0,1.62,1.66,130.0,C   ,388136.0,1.0,1.0,53.0
2200.0,-99.0,2.99,0.71,140.0,HVHZ,398790.0,1.0,1.0,22.0
4035.0,-99.0,7.34,1.4,120.0,C   ,506610.0,1.0,1.0,50.0
1334.0,-99.0,30.25,1.08,146.0,HVHZ,147650.0,1.0,1.0,25.0
2786.0,-99.0,0.27,1.06,120.0,B   ,245342.0,1.0,1.0,37.0
1080.0,-99.0,6.71,0.48,140.0,B   ,52500.0,1.0,1.0,34.0
2517.0,-99.0,2.8,1.46,140.0,HVHZ,370380.0,1.0,1.0,56.0
1537.0,-99.0,5.16,1.26,146.0,HVHZ,156710.0,1.0,1.0,37.0
975.0,-99.0,3.3,1.2,140.0,HVHZ,146110.0,1.0,1.0,69.0
2616.0,1267.2,2.53,0.29,140.0,C   ,481443.0,1.0,1.0,42.0
1409.0,-99.0,0.53,1.31,120.0,B   ,74211.0,1.0,1.0,52.0
2752.0,-99.0,3.03,0.69,123.0,B   ,305598.0,1.0,1.0,34.0
1485.0,-99.0,5.02,1.05,110.0,B   ,86200.0,1.0,1.0,43.0
2903.0,-99.0,11.1,1.83,140.0,B   ,646043.0,1.0,1.0,53.0
2658.0,-99.0,2.66,1.46,140.0,B   ,286860.0,1.0,1.0,62.0
1700.0,-99.0,2.99,1.08,120.0,B   ,124430.0,1.0,1.0,44.0
1874.0,1795.2,25.63,0.84,120.0,C   ,173150.0,1.0,1.0,61.0
785.0,-99.0,7.14,1.13,146.0,HVHZ,85211.0,1.0,1.0,76.0
1586.0,-99.0,1.0,0.8,123.0,B   ,194543.0,1.0,1.0,94.0
1752.0,-99.0,25.3,0.99,146.0,HVHZ,269083.0,1.0,1.0,22.0
1360.0,-99.0,4.38,0.93,146.0,HVHZ,163800.0,1.0,1.0,49.0
1594.0,-99.0,1.53,1.4,110.0,B   ,90959.0,1.0,1.0,70.0
2097.0,2112.0,4.22,0.5,140.0,C   ,458453.0,2.0,1.0,50.0
3307.0,-99.0,10.03,0.78,140.0,HVHZ,403160.0,1.0,1.0,27.0
1772.0,528.0,2.97,0.38,120.0,C   ,205823.0,1.0,1.0,35.0
2238.0,-99.0,26.13,1.27,146.0,HVHZ,250920.0,1.0,1.0,31.0
2041.0,-99.0,0.41,1.42,120.0,B   ,130820.0,1.0,1.0,40.0
1050.0,-99.0,7.6,0.62,140.0,HVHZ,61640.0,1.0,1.0,47.0
2326.0,4171.2,0.64,0.31,123.0,B   ,225324.0,1.0,1.0,55.0
2158.0,1214.4,26.02,0.44,120.0,C   ,163900.0,1.0,1.0,62.0
1252.0,844.8,2.45,3.55,120.0,C   ,74425.0,1.0,1.0,51.0
1725.0,-99.0,5.38,0.82,120.0,B   ,190123.0,1.0,1.0,31.0
2039.0,-99.0,9.62,0.76,140.0,HVHZ,199410.0,1.0,1.0,43.0
2248.0,1636.8,7.96,1.52,140.0,C   ,435748.0,1.0,1.0,26.0
2112.0,3907.2,0.84,1.09,120.0,B   ,280670.0,1.0,1.0,60.0
1224.0,2059.2,2.79,1.73,150.0,B   ,50300.0,1.0,1.0,62.0
1070.0,-99.0,7.07,0.84,140.0,B   ,91500.0,1.0,1.0,43.0
2090.0,-99.0,3.88,1.35,120.0,B   ,158795.0,1.0,1.0,21.0
1248.0,-99.0,1.11,0.81,130.0,B   ,79376.0,1.0,1.0,60.0
1500.0,2481.6,1.55,1.32,120.0,C   ,99909.0,1.0,1.0,60.0
3432.0,-99.0,0.38,0.42,110.0,B   ,1030510.0,1.0,1.0,33.0
999.0,-99.0,1.52,1.16,123.0,B   ,109353.0,1.0,1.0,62.0
2469.0,-99.0,21.76,0.8,146.0,HVHZ,300142.0,1.0,1.0,34.0
2643.0,2851.2,7.05,0.55,130.0,B   ,134210.0,1.0,1.0,45.0
1487.0,-99.0,7.44,0.45,130.0,B   ,160718.0,1.0,1.0,25.0
2955.0,-99.0,24.63,0.98,146.0,HVHZ,481210.0,1.0,1.0,55.0
2316.0,211.2,0.96,1.41,120.0,B   ,533803.0,1.0,1.0,45.0
2402.0,52.8,11.14,1.6,130.0,B   ,715772.0,1.0,1.0,41.0
1187.0,-99.0,0.9,0.71,120.0,B   ,68640.0,1.0,1.0,46.0
1739.0,-99.0,3.9,1.37,110.0,B   ,151217.0,1.0,1.0,40.0
1139.0,-99.0,0.44,0.41,110.0,B   ,70600.0,1.0,1.0,50.0
1651.0,-99.0,0.57,0.96,123.0,B   ,190545.0,1.0,1.0,48.0
792.0,316.8,25.53,1.83,136.0,C   ,462480.0,1.0,1.0,41.0
2368.0,-99.0,1.01,1.11,120.0,B   ,263965.0,1.0,1.0,26.0
3050.0,-99.0,2.59,1.41,110.0,B   ,268000.0,1.0,1.0,32.0
973.0,-99.0,4.66,0.61,146.0,HVHZ,107228.0,2.0,1.0,71.0
1449.0,-99.0,27.08,0.98,146.0,HVHZ,197600.0,1.0,1.0,42.0
1997.0,264.0,12.86,1.24,130.0,C   ,372300.0,1.0,1.0,18.0
1177.0,-99.0,3.38,0.57,146.0,HVHZ,128688.0,1.0,1.0,53.0
1876.0,3907.2,15.91,0.54,130.0,C   ,124398.0,1.0,1.0,31.0
1656.0,-99.0,5.17,0.8,140.0,HVHZ,182380.0,1.0,1.0,29.0
1675.0,-99.0,1.47,2.37,120.0,B   ,99174.0,1.0,1.0,36.0
1337.0,-99.0,2.95,0.61,140.0,HVHZ,237920.0,1.0,1.0,70.0
2771.0,264.0,4.46,2.39,150.0,C   ,272400.0,2.0,1.0,114.0
2531.0,3484.8,6.86,1.13,130.0,B   ,131620.0,1.0,1.0,67.0
2334.0,-99.0,9.39,0.95,140.0,B   ,280793.0,1.0,1.0,25.0
1000.0,-99.0,4.72,0.71,140.0,HVHZ,79220.0,1.0,1.0,48.0
1337.0,-99.0,0.88,1.48,110.0,B   ,75831.0,1.0,1.0,66.0
1451.0,-99.0,0.44,0.91,123.0,B   ,91900.0,1.0,1.0,76.0
2596.0,25.42,23.67,0.74,136.0,C   ,827192.0,1.0,1.0,33.0
1720.0,-99.0,3.55,1.83,140.0,HVHZ,196670.0,1.0,1.0,31.0
1395.0,-99.0,1.39,0.42,140.0,HVHZ,181630.0,1.0,1.0,64.0
1663.0,-99.0,1.92,0.44,140.0,HVHZ,247630.0,1.0,1.0,37.0
2157.0,-99.0,2.85,1.31,110.0,B   ,173841.0,1.0,1.0,43.0
2064.0,-99.0,9.84,0.7,146.0,HVHZ,244107.0,2.0,1.0,69.0
1557.0,-99.0,1.6,1.0,123.0,B   ,169310.0,1.0,1.0,54.0
1154.0,-99.0,2.87,0.31,146.0,HVHZ,125357.0,1.0,1.0,70.0
4750.0,-99.0,1.86,1.4,140.0,HVHZ,878630.0,1.0,1.0,27.0
1360.0,-99.0,1.27,1.4,130.0,B   ,141400.0,1.0,1.0,32.0
1015.0,369.6,16.85,0.31,130.0,C   ,204000.0,1.0,1.0,39.0
1578.0,-99.0,11.64,1.24,140.0,B   ,141100.0,1.0,1.0,30.0
2378.0,-99.0,1.39,1.54,110.0,B   ,200456.0,1.0,1.0,18.0
1206.0,-99.0,6.34,1.02,140.0,HVHZ,149550.0,1.0,1.0,65.0
1171.0,1742.4,4.09,1.52,120.0,B   ,81342.0,1.0,1.0,76.0
2741.0,-99.0,23.6,1.73,146.0,HVHZ,484897.0,1.0,1.0,66.0
2015.0,-99.0,0.28,1.49,120.0,B   ,146132.0,1.0,1.0,39.0
2226.0,-99.0,5.93,0.81,140.0,HVHZ,297390.0,1.0,1.0,24.0
1238.0,-99.0,0.52,0.91,123.0,B   ,67523.0,1.0,1.0,64.0
1122.0,-99.0,3.07,0.57,110.0,B   ,98542.0,1.0,1.0,36.0
2054.0,3115.2,0.42,0.84,123.0,B   ,207775.0,1.0,1.0,71.0
1401.0,2164.8,0.81,0.68,123.0,B   ,138084.0,1.0,1.0,66.0
1370.0,-99.0,1.72,0.8,140.0,HVHZ,213280.0,1.0,1.0,64.0
1662.0,-99.0,7.39,0.95,140.0,HVHZ,211980.0,1.0,1.0,45.0
1768.0,-99.0,4.29,1.09,130.0,B   ,77416.0,1.0,1.0,58.0
1671.0,-99.0,2.54,0.63,146.0,HVHZ,159150.0,1.0,1.0,64.0
1656.0,2851.2,2.62,0.33,120.0,B   ,148485.0,1.0,1.0,53.0
1583.0,-99.0,0.5,0.81,120.0,B   ,183487.0,1.0,1.0,42.0
1280.0,-99.0,28.07,0.9,146.0,HVHZ,161174.0,1.0,1.0,58.0
2327.0,-99.0,19.53,1.24,146.0,HVHZ,280944.0,1.0,1.0,36.0
2273.0,-99.0,3.59,0.68,140.0,HVHZ,292960.0,1.0,1.0,52.0
2054.0,-99.0,4.5,1.38,146.0,HVHZ,224079.0,1.0,1.0,68.0
1118.0,1003.2,2.49,1.01,123.0,C   ,156142.0,1.0,1.0,58.0
1593.0,-99.0,8.28,0.71,140.0,HVHZ,168760.0,1.0,1.0,40.0
2464.0,105.6,2.24,1.76,120.0,C   ,898144.0,1.0,1.0,52.0
2662.0,-99.0,3.61,0.87,120.0,B   ,245818.0,1.0,1.0,28.0
1171.0,-99.0,4.36,0.45,140.0,HVHZ,106240.0,1.0,1.0,69.0
1418.0,-99.0,7.82,1.07,140.0,HVHZ,228000.0,1.0,1.0,51.0
8688.0,211.2,14.3,0.31,130.0,C   ,1967875.0,1.0,1.0,94.0
2174.0,-99.0,3.47,0.39,140.0,HVHZ,332960.0,1.0,1.0,64.0
1368.0,211.2,21.01,0.26,135.0,C   ,236200.0,1.0,1.0,48.0
1372.0,1584.0,1.57,0.29,123.0,B   ,108443.0,1.0,1.0,67.0
1137.0,1161.6,1.2,0.53,120.0,B   ,67877.0,1.0,1.0,47.0
1301.0,-99.0,1.9,1.13,119.0,B   ,69241.0,1.0,1.0,69.0
3620.0,897.6,13.36,0.58,130.0,C   ,397291.0,1.0,1.0,57.0
1878.0,-99.0,5.59,0.63,140.0,HVHZ,229340.0,1.0,1.0,63.0
2523.0,-99.0,24.2,1.76,146.0,HVHZ,383563.0,1.0,1.0,50.0
1580.0,-99.0,1.55,0.79,140.0,HVHZ,201330.0,1.0,1.0,45.0
1762.0,-99.0,0.4,1.66,120.0,B   ,194729.0,1.0,1.0,32.0
2194.0,-99.0,3.89,1.12,140.0,HVHZ,357440.0,1.0,1.0,51.0
1538.0,-99.0,0.68,1.02,130.0,B   ,210436.0,1.0,1.0,37.0
1883.0,-99.0,0.31,1.58,120.0,B   ,154817.0,1.0,1.0,68.0
2025.0,-99.0,26.48,1.04,146.0,HVHZ,199114.0,1.0,1.0,63.0
1707.0,897.6,0.29,0.42,123.0,C   ,215035.0,1.0,1.0,66.0
703.0,-99.0,5.23,0.4,140.0,HVHZ,35640.0,1.0,1.0,47.0
1818.0,-99.0,2.41,0.79,140.0,HVHZ,164400.0,1.0,2.0,53.0
3100.0,264.0,2.51,1.47,120.0,C   ,682216.0,1.0,1.0,61.0
2054.0,-99.0,5.36,1.12,140.0,HVHZ,139460.0,1.0,1.0,53.0
1925.0,-99.0,7.26,1.99,150.0,B   ,167100.0,1.0,1.0,26.0
1510.0,4065.6,2.12,1.44,120.0,B   ,162134.0,1.0,1.0,45.0
1141.0,-99.0,2.02,1.28,140.0,B   ,152083.0,1.0,1.0,62.0
2045.0,-99.0,7.08,0.49,140.0,HVHZ,267100.0,1.0,1.0,50.0
1716.0,1267.2,8.46,1.0,146.0,HVHZ,541568.0,1.0,1.0,85.0
2586.0,-99.0,7.47,0.46,130.0,B   ,139701.0,1.0,1.0,41.0
2090.0,-99.0,8.15,0.96,146.0,HVHZ,191539.0,2.0,1.0,71.0
1925.0,-99.0,18.08,0.52,146.0,HVHZ,915800.0,1.0,1.0,75.0
1875.0,26.01,6.37,1.54,120.0,C   ,125520.0,1.0,1.0,39.0
1251.0,-99.0,14.3,0.42,146.0,HVHZ,209597.0,2.0,1.0,77.0
1242.0,-99.0,19.02,1.26,146.0,HVHZ,246852.0,1.0,1.0,70.0
1800.0,2481.6,25.88,0.76,120.0,C   ,153300.0,1.0,1.0,22.0
1494.0,4047.17,16.18,0.79,130.0,C   ,98449.0,1.0,1.0,38.0
1052.0,-99.0,16.57,0.7,146.0,HVHZ,255372.0,1.0,1.0,78.0
3102.0,-99.0,6.84,1.18,140.0,HVHZ,327750.0,1.0,1.0,56.0
2236.0,-99.0,5.21,1.03,140.0,HVHZ,296880.0,1.0,1.0,35.0
2353.0,844.8,2.08,1.13,130.0,C   ,482100.0,1.0,1.0,46.0
1337.0,1108.8,11.27,1.57,131.0,B   ,581800.0,1.0,1.0,35.0
2117.0,-99.0,13.98,0.34,110.0,B   ,100280.0,1.0,1.0,40.0
