AdjSquareFeet,DistancetoCoast,DistancetoSinkhole,DistancetoFireDepartment,LocationWindSpeed,NumberOfBuildings,NumberOfUnits,Age,Terrain_B   ,Terrain_C   ,Terrain_HVHZ
1146.0,-99.0,0.34,0.93,120.0,1.0,1.0,38.0,True,False,False
2556.0,-99.0,27.3,2.07,146.0,1.0,1.0,27.0,False,False,True
2052.0,-99.0,0.4,1.33,120.0,1.0,1.0,45.0,True,False,False
1463.0,-99.0,21.38,1.0,146.0,1.0,1.0,44.0,False,False,True
1430.0,-99.0,0.35,1.7,120.0,1.0,1.0,37.0,True,False,False
1314.0,-99.0,10.3,0.36,146.0,1.0,1.0,35.0,False,False,True
1976.0,-99.0,0.36,1.16,120.0,1.0,1.0,46.0,True,False,False
1976.0,-99.0,0.36,1.16,120.0,1.0,1.0,46.0,True,False,False
1976.0,-99.0,0.36,1.16,120.0,1.0,1.0,46.0,True,False,False
1976.0,-99.0,0.36,1.16,120.0,1.0,1.0,46.0,True,False,False
2012.0,-99.0,4.4,0.71,140.0,1.0,1.0,26.0,False,False,True
1815.0,-99.0,1.02,1.85,120.0,1.0,1.0,38.0,True,False,False
1815.0,-99.0,1.02,1.85,120.0,1.0,1.0,38.0,True,False,False
1624.0,-99.0,24.26,0.26,146.0,1.0,1.0,37.0,False,False,True
2014.0,-99.0,0.25,1.09,120.0,1.0,1.0,44.0,True,False,False
1832.0,-99.0,6.8,0.94,130.0,1.0,1.0,45.0,True,False,False
1832.0,-99.0,6.8,0.94,130.0,1.0,1.0,45.0,True,False,False
1446.0,-99.0,21.36,1.18,146.0,1.0,1.0,44.0,False,False,True
1962.0,-99.0,0.21,1.08,120.0,1.0,1.0,46.0,True,False,False
1566.0,-99.0,0.89,1.72,120.0,1.0,1.0,39.0,True,False,False
1566.0,-99.0,0.89,1.72,120.0,1.0,1.0,39.0,True,False,False
899.0,-99.0,12.79,0.78,146.0,1.0,1.0,38.0,False,False,True
1467.0,-99.0,4.65,1.25,146.0,1.0,1.0,41.0,False,False,True
2166.0,-99.0,1.03,1.5,120.0,1.0,1.0,46.0,True,False,False
1382.0,-99.0,3.2,0.96,146.0,1.0,1.0,34.0,False,False,True
1382.0,-99.0,3.2,0.96,146.0,1.0,1.0,34.0,False,False,True
2014.0,-99.0,0.48,0.92,120.0,1.0,1.0,44.0,True,False,False
2014.0,-99.0,0.48,0.92,120.0,1.0,1.0,44.0,True,False,False
2014.0,-99.0,0.48,0.92,120.0,1.0,1.0,44.0,True,False,False
1757.0,-99.0,0.44,1.18,120.0,1.0,1.0,46.0,True,False,False
1336.0,-99.0,0.5,0.87,120.0,1.0,1.0,49.0,True,False,False
1336.0,-99.0,0.5,0.87,120.0,1.0,1.0,49.0,True,False,False
2006.0,-99.0,0.56,1.06,120.0,1.0,1.0,46.0,True,False,False
2006.0,-99.0,0.56,1.06,120.0,1.0,1.0,46.0,True,False,False
1823.0,-99.0,0.78,1.55,120.0,1.0,1.0,48.0,True,False,False
1253.0,-99.0,6.84,1.51,140.0,1.0,1.0,33.0,False,False,True
1253.0,-99.0,6.84,1.51,140.0,1.0,1.0,33.0,False,False,True
1681.0,-99.0,0.2,1.22,120.0,1.0,1.0,46.0,True,False,False
1681.0,-99.0,0.2,1.22,120.0,1.0,1.0,46.0,True,False,False
2338.0,-99.0,27.16,1.49,146.0,1.0,1.0,29.0,False,False,True
1492.0,-99.0,0.44,1.14,100.0,1.0,1.0,35.0,True,False,False
2065.0,-99.0,0.46,1.41,120.0,1.0,1.0,41.0,True,False,False
1830.0,-99.0,0.49,0.91,120.0,1.0,1.0,49.0,True,False,False
1384.0,-99.0,0.4,0.06,120.0,1.0,1.0,28.0,True,False,False
1384.0,-99.0,0.4,0.06,120.0,1.0,1.0,28.0,True,False,False
1450.0,-99.0,0.19,1.34,110.0,1.0,1.0,39.0,True,False,False
1759.0,-99.0,0.59,0.78,120.0,1.0,1.0,41.0,True,False,False
1759.0,-99.0,0.59,0.78,120.0,1.0,1.0,41.0,True,False,False
1759.0,-99.0,0.59,0.78,120.0,1.0,1.0,41.0,True,False,False
1642.0,4224.0,0.44,0.19,123.0,1.0,1.0,21.0,True,False,False
1540.0,-99.0,0.19,1.22,120.0,1.0,1.0,47.0,True,False,False
1499.0,-99.0,26.38,1.21,146.0,1.0,1.0,25.0,False,False,True
2665.0,-99.0,0.07,0.84,120.0,1.0,1.0,44.0,True,False,False
1304.0,-99.0,1.21,0.83,120.0,1.0,1.0,45.0,True,False,False
1230.0,-99.0,0.38,0.74,120.0,1.0,1.0,30.0,True,False,False
1230.0,-99.0,0.38,0.74,120.0,1.0,1.0,30.0,True,False,False
1517.0,-99.0,0.16,0.9,120.0,1.0,1.0,45.0,True,False,False
1728.0,-99.0,0.45,1.23,123.0,1.0,1.0,47.0,True,False,False
1726.0,-99.0,1.0,1.52,120.0,1.0,1.0,31.0,True,False,False
1726.0,-99.0,1.0,1.52,120.0,1.0,1.0,31.0,True,False,False
1726.0,-99.0,1.0,1.52,120.0,1.0,1.0,31.0,True,False,False
1457.0,-99.0,0.38,1.7,120.0,1.0,1.0,35.0,True,False,False
1993.0,-99.0,0.35,0.44,120.0,1.0,1.0,38.0,True,False,False
1733.0,-99.0,27.54,1.64,146.0,1.0,1.0,41.0,False,False,True
1733.0,-99.0,27.54,1.64,146.0,1.0,1.0,41.0,False,False,True
2291.0,-99.0,3.04,1.38,123.0,1.0,1.0,39.0,True,False,False
1577.0,-99.0,0.47,0.94,120.0,1.0,1.0,46.0,True,False,False
1577.0,-99.0,0.47,0.94,120.0,1.0,1.0,46.0,True,False,False
1485.0,-99.0,0.21,1.48,110.0,1.0,1.0,45.0,True,False,False
1485.0,-99.0,0.21,1.48,110.0,1.0,1.0,45.0,True,False,False
1485.0,-99.0,0.21,1.48,110.0,1.0,1.0,45.0,True,False,False
1361.0,-99.0,1.44,1.36,120.0,1.0,1.0,39.0,True,False,False
1253.0,-99.0,5.96,1.05,146.0,1.0,1.0,19.0,False,False,True
2260.0,-99.0,0.5,0.31,130.0,1.0,1.0,37.0,True,False,False
2260.0,-99.0,0.5,0.31,130.0,1.0,1.0,37.0,True,False,False
2470.0,-99.0,0.95,0.6,120.0,1.0,1.0,48.0,True,False,False
1451.0,-99.0,0.6,0.96,120.0,1.0,1.0,47.0,True,False,False
1451.0,-99.0,0.6,0.96,120.0,1.0,1.0,47.0,True,False,False
1513.0,-99.0,39.55,1.21,146.0,1.0,1.0,45.0,False,False,True
2532.0,-99.0,0.06,1.41,120.0,1.0,1.0,29.0,True,False,False
1588.0,-99.0,0.58,0.49,120.0,1.0,1.0,68.0,True,False,False
1621.0,-99.0,0.48,1.64,120.0,1.0,1.0,31.0,True,False,False
3507.0,-99.0,10.21,1.06,120.0,1.0,1.0,37.0,True,False,False
1461.0,-99.0,0.77,1.62,120.0,1.0,1.0,42.0,True,False,False
2535.0,-99.0,17.61,1.42,146.0,1.0,1.0,28.0,False,False,True
1628.0,-99.0,0.42,1.07,120.0,1.0,1.0,29.0,True,False,False
3001.0,-99.0,0.45,1.94,120.0,1.0,1.0,19.0,True,False,False
2495.0,-99.0,7.19,1.09,140.0,1.0,1.0,28.0,False,False,True
2495.0,-99.0,7.19,1.09,140.0,1.0,1.0,28.0,False,False,True
1840.0,-99.0,0.67,0.33,120.0,1.0,1.0,46.0,True,False,False
1451.0,-99.0,27.78,1.4,146.0,1.0,1.0,27.0,False,False,True
1451.0,-99.0,27.78,1.4,146.0,1.0,1.0,27.0,False,False,True
2665.0,-99.0,3.37,1.09,140.0,1.0,1.0,30.0,False,False,True
1468.0,-99.0,2.27,0.79,120.0,1.0,1.0,21.0,True,False,False
2139.0,-99.0,0.3,1.72,120.0,1.0,1.0,19.0,True,False,False
3491.0,-99.0,0.44,0.94,120.0,1.0,1.0,38.0,True,False,False
1696.0,-99.0,10.65,0.95,140.0,1.0,1.0,23.0,False,False,True
1628.0,-99.0,0.6,1.41,110.0,1.0,1.0,27.0,True,False,False
1628.0,-99.0,0.6,1.41,110.0,1.0,1.0,27.0,True,False,False
1628.0,-99.0,0.6,1.41,110.0,1.0,1.0,27.0,True,False,False
1515.0,-99.0,10.26,1.26,146.0,1.0,1.0,27.0,False,False,True
1515.0,-99.0,10.26,1.26,146.0,1.0,1.0,27.0,False,False,True
1515.0,-99.0,10.26,1.26,146.0,1.0,1.0,27.0,False,False,True
1925.0,-99.0,0.49,0.6,120.0,1.0,1.0,38.0,True,False,False
1389.0,-99.0,1.08,1.77,120.0,1.0,1.0,41.0,True,False,False
1792.0,-99.0,0.36,0.52,100.0,1.0,1.0,30.0,True,False,False
1792.0,-99.0,0.36,0.52,100.0,1.0,1.0,30.0,True,False,False
1727.0,-99.0,0.51,2.04,110.0,1.0,1.0,35.0,True,False,False
1727.0,-99.0,0.51,2.04,110.0,1.0,1.0,35.0,True,False,False
1842.0,-99.0,0.97,1.32,120.0,1.0,1.0,48.0,True,False,False
1212.0,-99.0,0.41,1.07,120.0,1.0,1.0,18.0,True,False,False
3171.0,-99.0,1.43,2.08,120.0,1.0,1.0,34.0,True,False,False
3800.0,-99.0,0.5,0.95,120.0,1.0,1.0,43.0,True,False,False
1659.0,-99.0,0.77,1.34,123.0,1.0,1.0,41.0,True,False,False
1787.0,-99.0,1.21,5.87,130.0,1.0,1.0,49.0,True,False,False
1030.0,-99.0,7.95,0.85,140.0,1.0,1.0,47.0,False,False,True
1030.0,-99.0,7.95,0.85,140.0,1.0,1.0,47.0,False,False,True
2560.0,-99.0,17.25,0.7,120.0,1.0,1.0,44.0,True,False,False
2560.0,-99.0,17.25,0.7,120.0,1.0,1.0,44.0,True,False,False
1880.0,-99.0,0.95,0.6,120.0,1.0,1.0,45.0,True,False,False
1126.0,-99.0,0.74,0.99,123.0,1.0,1.0,18.0,True,False,False
1437.0,-99.0,2.58,1.0,146.0,1.0,1.0,27.0,False,False,True
1996.0,2956.8,18.12,0.34,120.0,1.0,1.0,39.0,True,False,False
1784.0,-99.0,1.06,0.34,120.0,1.0,1.0,28.0,True,False,False
1784.0,-99.0,1.06,0.34,120.0,1.0,1.0,28.0,True,False,False
1784.0,-99.0,1.06,0.34,120.0,1.0,1.0,28.0,True,False,False
2310.0,-99.0,3.77,1.26,140.0,1.0,1.0,27.0,False,False,True
2584.0,2323.2,0.22,0.21,123.0,1.0,1.0,29.0,False,True,False
2584.0,2323.2,0.22,0.21,123.0,1.0,1.0,29.0,False,True,False
2584.0,2323.2,0.22,0.21,123.0,1.0,1.0,29.0,False,True,False
1479.0,-99.0,8.15,0.2,146.0,1.0,1.0,18.0,False,False,True
1479.0,-99.0,8.15,0.2,146.0,1.0,1.0,18.0,False,False,True
1479.0,-99.0,8.15,0.2,146.0,1.0,1.0,18.0,False,False,True
2282.0,-99.0,0.26,1.19,120.0,1.0,1.0,53.0,True,False,False
1363.0,-99.0,0.23,1.06,120.0,1.0,1.0,45.0,True,False,False
1363.0,-99.0,0.23,1.06,120.0,1.0,1.0,45.0,True,False,False
1635.0,-99.0,0.14,1.38,120.0,1.0,1.0,40.0,True,False,False
1865.0,-99.0,23.31,1.28,146.0,1.0,1.0,18.0,False,False,True
2148.0,-99.0,0.23,0.81,123.0,1.0,1.0,40.0,True,False,False
1911.0,1848.0,8.18,0.86,130.0,1.0,1.0,46.0,False,True,False
1564.0,-99.0,1.49,1.34,120.0,1.0,1.0,35.0,True,False,False
2179.0,-99.0,1.04,0.53,120.0,1.0,1.0,38.0,True,False,False
2179.0,-99.0,1.04,0.53,120.0,1.0,1.0,38.0,True,False,False
2179.0,-99.0,1.04,0.53,120.0,1.0,1.0,38.0,True,False,False
1583.0,-99.0,0.15,0.82,120.0,1.0,1.0,20.0,True,False,False
2922.0,-99.0,22.74,0.67,120.0,1.0,1.0,36.0,True,False,False
1832.0,-99.0,0.42,1.09,120.0,1.0,1.0,47.0,True,False,False
1431.0,-99.0,0.54,0.9,120.0,1.0,1.0,45.0,True,False,False
2053.0,-99.0,7.99,0.83,140.0,1.0,1.0,37.0,False,False,True
2053.0,-99.0,7.99,0.83,140.0,1.0,1.0,37.0,False,False,True
1550.0,-99.0,27.04,1.87,146.0,1.0,1.0,44.0,False,False,True
1550.0,-99.0,27.04,1.87,146.0,1.0,1.0,44.0,False,False,True
1617.0,-99.0,2.43,0.92,130.0,1.0,1.0,25.0,True,False,False
5448.0,-99.0,2.15,0.82,140.0,1.0,1.0,25.0,False,False,True
2098.0,-99.0,0.26,1.6,123.0,1.0,1.0,47.0,True,False,False
1477.0,-99.0,0.39,0.92,120.0,1.0,1.0,46.0,True,False,False
3409.0,-99.0,1.81,0.35,140.0,1.0,1.0,25.0,False,False,True
4652.0,-99.0,4.83,2.03,120.0,1.0,1.0,40.0,True,False,False
1865.0,-99.0,8.57,0.36,130.0,1.0,1.0,25.0,True,False,False
850.0,-99.0,7.67,0.97,140.0,1.0,1.0,46.0,False,False,True
1911.0,-99.0,4.44,1.31,140.0,1.0,1.0,25.0,False,False,True
1990.0,-99.0,3.41,0.91,140.0,1.0,1.0,18.0,False,False,True
2450.0,-99.0,7.32,1.26,146.0,1.0,1.0,23.0,False,False,True
1811.0,-99.0,5.51,0.68,140.0,1.0,1.0,67.0,False,False,True
1811.0,-99.0,5.51,0.68,140.0,1.0,1.0,67.0,False,False,True
2001.0,-99.0,5.43,0.88,140.0,1.0,1.0,53.0,False,False,True
2001.0,-99.0,5.43,0.88,140.0,1.0,1.0,53.0,False,False,True
2001.0,-99.0,5.43,0.88,140.0,1.0,1.0,53.0,False,False,True
1591.0,-99.0,9.87,1.19,146.0,1.0,1.0,27.0,False,False,True
1803.0,-99.0,0.34,0.94,120.0,1.0,1.0,46.0,True,False,False
1455.0,-99.0,0.15,0.43,120.0,1.0,1.0,23.0,True,False,False
1431.0,-99.0,0.89,1.66,120.0,1.0,1.0,43.0,True,False,False
1431.0,-99.0,0.89,1.66,120.0,1.0,1.0,43.0,True,False,False
1431.0,-99.0,0.89,1.66,120.0,1.0,1.0,43.0,True,False,False
1565.0,-99.0,8.51,0.36,146.0,1.0,1.0,25.0,False,False,True
1565.0,-99.0,8.51,0.36,146.0,1.0,1.0,25.0,False,False,True
1236.0,-99.0,6.76,1.1,140.0,1.0,1.0,28.0,False,False,True
1664.0,-99.0,0.26,0.52,120.0,1.0,1.0,48.0,True,False,False
1664.0,-99.0,0.26,0.52,120.0,1.0,1.0,48.0,True,False,False
1551.0,-99.0,4.99,0.77,140.0,1.0,1.0,27.0,False,False,True
1623.0,-99.0,0.47,1.1,120.0,1.0,1.0,47.0,True,False,False
1623.0,-99.0,0.47,1.1,120.0,1.0,1.0,47.0,True,False,False
1952.0,-99.0,5.68,2.28,140.0,1.0,1.0,25.0,False,False,True
1633.0,-99.0,7.69,0.77,140.0,1.0,1.0,30.0,True,False,False
1530.0,-99.0,3.27,0.77,140.0,1.0,1.0,30.0,False,False,True
2177.0,-99.0,2.18,0.76,140.0,1.0,1.0,44.0,True,False,False
1839.0,-99.0,11.5,0.48,132.0,1.0,1.0,43.0,True,False,False
1614.0,-99.0,0.38,1.17,140.0,1.0,1.0,43.0,True,False,False
1425.0,-99.0,6.38,0.91,140.0,1.0,1.0,50.0,False,False,True
1425.0,-99.0,6.38,0.91,140.0,1.0,1.0,50.0,False,False,True
1569.0,-99.0,4.5,2.1,130.0,1.0,1.0,50.0,True,False,False
3016.0,-99.0,8.11,1.6,120.0,1.0,1.0,41.0,True,False,False
2619.0,-99.0,0.36,3.08,140.0,1.0,1.0,32.0,True,False,False
3457.0,-99.0,9.29,1.05,130.0,1.0,1.0,48.0,True,False,False
3040.0,-99.0,7.28,0.85,130.0,1.0,1.0,40.0,True,False,False
3555.0,4804.8,11.11,1.95,130.0,1.0,1.0,35.0,True,False,False
3555.0,4804.8,11.11,1.95,130.0,1.0,1.0,35.0,True,False,False
3928.0,1108.8,21.52,0.75,120.0,1.0,1.0,44.0,False,True,False
1481.0,-99.0,0.39,0.63,120.0,1.0,1.0,35.0,True,False,False
2028.0,-99.0,0.11,1.6,120.0,1.0,1.0,46.0,True,False,False
3154.0,-99.0,11.54,0.74,130.0,1.0,1.0,41.0,True,False,False
2459.0,-99.0,14.52,1.39,146.0,1.0,1.0,24.0,False,False,True
1025.0,-99.0,8.02,0.89,140.0,1.0,1.0,46.0,False,False,True
1649.0,-99.0,0.51,1.17,120.0,1.0,1.0,45.0,True,False,False
2533.0,-99.0,10.5,2.3,130.0,1.0,1.0,23.0,True,False,False
1567.0,-99.0,0.72,1.64,120.0,1.0,1.0,47.0,True,False,False
2456.0,-99.0,8.45,1.29,140.0,1.0,1.0,48.0,False,False,True
4274.0,-99.0,6.38,0.7,130.0,1.0,1.0,47.0,True,False,False
4274.0,-99.0,6.38,0.7,130.0,1.0,1.0,47.0,True,False,False
1816.0,-99.0,5.64,0.83,140.0,1.0,1.0,49.0,False,False,True
1939.0,-99.0,5.2,1.18,146.0,1.0,1.0,35.0,False,False,True
1680.0,-99.0,0.23,0.8,120.0,1.0,1.0,28.0,True,False,False
1680.0,-99.0,0.23,0.8,120.0,1.0,1.0,28.0,True,False,False
3883.0,-99.0,0.79,1.86,120.0,1.0,1.0,21.0,True,False,False
1867.0,-99.0,21.82,1.26,146.0,1.0,1.0,41.0,False,False,True
1867.0,-99.0,21.82,1.26,146.0,1.0,1.0,41.0,False,False,True
1867.0,-99.0,21.82,1.26,146.0,1.0,1.0,41.0,False,False,True
2177.0,-99.0,0.42,1.52,120.0,1.0,1.0,29.0,True,False,False
2532.0,-99.0,6.86,0.81,140.0,1.0,1.0,24.0,False,False,True
1650.0,-99.0,7.5,0.57,130.0,1.0,1.0,45.0,True,False,False
1650.0,-99.0,7.5,0.57,130.0,1.0,1.0,45.0,True,False,False
1650.0,-99.0,7.5,0.57,130.0,1.0,1.0,45.0,True,False,False
1957.0,-99.0,5.6,0.94,140.0,1.0,1.0,54.0,False,False,True
1957.0,-99.0,5.6,0.94,140.0,1.0,1.0,54.0,False,False,True
2837.0,-99.0,1.32,1.41,140.0,1.0,1.0,32.0,True,False,False
1928.0,-99.0,21.1,0.97,146.0,1.0,1.0,36.0,False,False,True
2411.0,-99.0,0.41,0.71,120.0,1.0,1.0,31.0,True,False,False
1561.0,-99.0,3.26,0.54,140.0,1.0,1.0,18.0,False,False,True
1561.0,-99.0,3.26,0.54,140.0,1.0,1.0,18.0,False,False,True
3338.0,-99.0,0.54,1.35,120.0,1.0,1.0,46.0,True,False,False
2144.0,-99.0,0.4,2.71,120.0,1.0,1.0,48.0,True,False,False
2553.0,-99.0,36.63,0.54,146.0,2.0,1.0,45.0,False,False,True
2172.0,-99.0,0.98,1.12,120.0,1.0,1.0,38.0,True,False,False
1969.0,-99.0,8.97,1.15,130.0,1.0,1.0,35.0,True,False,False
940.0,-99.0,6.28,0.45,140.0,1.0,1.0,50.0,False,False,True
2007.0,-99.0,15.07,0.22,146.0,2.0,1.0,37.0,False,False,True
1200.0,-99.0,40.95,1.98,146.0,1.0,1.0,30.0,False,False,True
2167.0,-99.0,0.9,1.6,120.0,1.0,1.0,48.0,True,False,False
1376.0,-99.0,7.02,0.89,140.0,1.0,1.0,50.0,False,False,True
1376.0,-99.0,7.02,0.89,140.0,1.0,1.0,50.0,False,False,True
1647.0,-99.0,7.99,1.25,140.0,1.0,1.0,45.0,False,False,True
1462.0,-99.0,6.67,0.65,140.0,1.0,1.0,43.0,False,False,True
1462.0,-99.0,6.67,0.65,140.0,1.0,1.0,43.0,False,False,True
1626.0,-99.0,3.49,0.64,140.0,1.0,1.0,24.0,False,False,True
1626.0,-99.0,3.49,0.64,140.0,1.0,1.0,24.0,False,False,True
2595.0,-99.0,1.37,1.54,120.0,1.0,1.0,27.0,True,False,False
2255.0,-99.0,18.41,0.99,146.0,2.0,1.0,49.0,False,False,True
1844.0,-99.0,24.79,1.08,146.0,1.0,1.0,35.0,False,False,True
1844.0,-99.0,24.79,1.08,146.0,1.0,1.0,35.0,False,False,True
3146.0,1108.8,23.21,0.86,120.0,1.0,1.0,46.0,False,True,False
3146.0,1108.8,23.21,0.86,120.0,1.0,1.0,46.0,False,True,False
1967.0,-99.0,0.74,0.92,120.0,1.0,1.0,49.0,True,False,False
1680.0,-99.0,17.07,0.51,146.0,1.0,1.0,47.0,False,False,True
